reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
L2,0.0015,43,0.6993,0.96996,conv3,train,4.672,25000,10
L2,0.0015,43,0.6993,0.96996,conv3,val,5.8999999999999995,10000,10
L2,0.0015,43,0.6993,0.96996,fc1,train,24.856,25000,10
L2,0.0015,43,0.6993,0.96996,fc1,val,27.66,10000,10
L2,0.002,27,0.7001,0.89212,conv1,train,0.124,25000,10
L2,0.002,27,0.7001,0.89212,conv1,val,0.24,10000,10
L2,0.002,27,0.7001,0.89212,conv3,train,0.23600000000000002,25000,10
L2,0.002,27,0.7001,0.89212,conv3,val,0.38999999999999996,10000,10
L2,0.002,27,0.7001,0.89212,fc1,train,5.448,25000,10
L2,0.002,27,0.7001,0.89212,fc1,val,5.89,10000,10
L2,0.003,45,0.703,0.8708,conv1,train,0.16,25000,10
L2,0.003,45,0.703,0.8708,conv1,val,0.33,10000,10
L2,0.003,45,0.703,0.8708,conv3,train,0.08,25000,10
L2,0.003,45,0.703,0.8708,conv3,val,0.11,10000,10
L2,0.003,45,0.703,0.8708,fc1,train,1.016,25000,10
L2,0.003,45,0.703,0.8708,fc1,val,1.3299999999999998,10000,10
L2,0.005,60,0.6829,0.751,conv1,train,0.108,25000,10
L2,0.005,60,0.6829,0.751,conv1,val,0.24,10000,10
L2,0.005,60,0.6829,0.751,conv3,train,0.004,25000,10
L2,0.005,60,0.6829,0.751,conv3,val,0.01,10000,10
L2,0.005,60,0.6829,0.751,fc1,train,0.06,25000,10
L2,0.005,60,0.6829,0.751,fc1,val,0.15,10000,10
L2,0.01,52,0.5464,0.5654,conv1,train,0.16,25000,10
L2,0.01,52,0.5464,0.5654,conv1,val,0.29,10000,10
L2,0.01,52,0.5464,0.5654,conv3,train,0.008,25000,10
L2,0.01,52,0.5464,0.5654,conv3,val,0.01,10000,10
L2,0.01,52,0.5464,0.5654,fc1,train,0.02,25000,10
L2,0.01,52,0.5464,0.5654,fc1,val,0.08,10000,10
L2,0.02,1,0.1,0.10088,conv1,train,0.004,25000,10
L2,0.02,1,0.1,0.10088,conv1,val,0.01,10000,10
L2,0.02,1,0.1,0.10088,conv3,train,0.004,25000,10
L2,0.02,1,0.1,0.10088,conv3,val,0.01,10000,10
L2,0.02,1,0.1,0.10088,fc1,train,0.004,25000,10
L2,0.02,1,0.1,0.10088,fc1,val,0.01,10000,10
L2,0.05,1,0.1,0.1012,conv1,train,0.004,25000,10
L2,0.05,1,0.1,0.1012,conv1,val,0.01,10000,10
L2,0.05,1,0.1,0.1012,conv3,train,0.004,25000,10
